Review ID,Review Submission Date Time,Account ID,Validated Listing ID,Subject,Primary Category,Secondary Category,Description,Case Origin,Record Type ID,Contact ID,Owner ID,Case Category,Type,Status,Blocker,Auto Chase Status,Translated Description
650ae05a4080ea283300368d,2023-09-20T12:06:50.000Z,33585210,33585210,"Only snags were somewhat limited electric lighting and lack of electricity sockets for , e.g. charging phones , electric shavers, etc",Customer L1,Fatality,"Only snags were somewhat limited electric lighting and lack of electricity sockets for , e.g. charging phones , electric shavers, etc
----
delightful
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.
Brand: VRBO",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,NULL
650b29b79bfffe046b559680,2023-09-20T17:19:51.000Z,25138668,25138668,Other than issues with the pool being green,Pool Safety,Unclean / cloudy pool water,"Other than issues with the pool being green
----
great location!
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.
Brand: VRBO",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 2,New,,Not Applicable,NULL
650b53aeab6a40063a09cc3c,2023-09-20T20:18:52.000Z,22223208,22223208,pools was stayed dirty never cleaned and hot tubs full of sand not cleaned out either,Pool Safety,Unclean / cloudy pool water,"pools was stayed dirty never cleaned and hot tubs full of sand not cleaned out either
----
pools
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.
Brand: VRBO",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 2,New,,Not Applicable,NULL
650b12a8ef72745eab378b63,2023-09-20T15:41:26.000Z,33478858,33478858,"Die Treppe im Haus ist zwar steil, hat aber ein ordentliches Geländer.",Accommodation,,"Die Treppe im Haus ist zwar steil, hat aber ein ordentliches Geländer.
----
schöner urlaub
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.
Brand: VRBO",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 2,New,,Not Applicable,NULL
650b34f1c311bb09881666ec,2023-09-20T18:07:43.000Z,33602410,33602410,The walk up stairs (4 stories) was tough with a toddler and the stairs within the apartment were not safe for her either.,Stairs,,"The walk up stairs (4 stories) was tough with a toddler and the stairs within the apartment were not safe for her either.
----
mostly what we thought we were getting, a few caveats
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.
Brand: VRBO",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 2,New,,Not Applicable,NULL
650a7d46ac191244c813680e,2023-09-04T10:31:06.000Z,40060696,40060696,"Disliked: - broken elevator upon arrival and so many stairs, not convenient if lots of luggage - had to pick up/pay for linen and make beds and undo and bring back with keys - early 10:00 a.m. check-out, luckily elevator was fixed -mildiou on entranc",Window,,"Disliked: - broken elevator upon arrival and so many stairs, not convenient if lots of luggage - had to pick up/pay for linen and make beds and undo and bring back with keys - early 10:00 a.m. check-out, luckily elevator was fixed -mildiou on entrance door, tray full of congealed grease in oven - no trash bags - no a/c, had to leave windows open for air but above a street and the mopeds driving by all night long was unbearable LIKED: free parking elevator if working partial view of beach
----
actually wanted the grand palais!
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.
Brand: VRBO",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 2,New,,Not Applicable,NULL
650b1c88fecb6761f5ef1a42,2023-09-20T16:23:36.000Z,74708585,74708585,Poussièreux et vieillot Les escaliers sont franchement dangereux,Stairs,,"Poussièreux et vieillot Les escaliers sont franchement dangereux
----
sinistre
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.
Brand: VRBO",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 2,New,,Not Applicable,NULL
650b71ec944ef9793c8be246,2023-09-20T22:27:54.000Z,70989037,70989037,- Shampoo/conditioner/soap provided were smaller than what a hotel would provide for a place that sleeps 10 ( bring your own) - Ended up having to buy extra toilet paper/paper towels as we ran out with at most 7 people in the home at a time and no ex,Electrical,Power Outage,"- Shampoo/conditioner/soap provided were smaller than what a hotel would provide for a place that sleeps 10 ( bring your own) - Ended up having to buy extra toilet paper/paper towels as we ran out with at most 7 people in the home at a time and no extras provided - Attempted to use grill several times and it did not heat up enough to be usable despite hooking up our own propane tank - Power was out overnight one night we were there (problematic for groceries/breastmilk) - There is a makeshift fire pit we never used, we would have loved an actual fire pit for cooking smores - Lack of AC was not an issue this time of year but would be in summer
----
fun family/dog getaway
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.
Brand: VRBO",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 3,New,,Not Applicable,NULL
650ac5a152c59a38534663e4,2023-09-20T10:12:49.000Z,35833792,35833792,"Its not our fist stay in this house, the place is nice however there are a few thing that could be looked after, minor details such a few electric plugs (damaged) kitchen extractor (very noisy) upstairs shower needs attention, the cleaning on the kit",Electrical,Power Outage,"Its not our fist stay in this house, the place is nice however there are a few thing that could be looked after, minor details such a few electric plugs (damaged) kitchen extractor (very noisy) upstairs shower needs attention, the cleaning on the kitchen utensils (we had to wash everything before use, they were bad) lack of towels and bed linen, the garden furniture is poor as well, load of ants and other insects will appear as the windows and doors are probably 50y old and they let everything in, the only good side is the location of the propriety and the size that fit our needs, nevertheless the price is a bit on high side for all the conditions
----
nice place
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.
Brand: VRBO",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 3,New,,Not Applicable,NULL
650a51b15b225235e6f2de81,2023-09-20T01:58:09.000Z,90167348,90167348,"Never in my life of renting a spot Have I ever dealt with such an unprofessional host, We have dealt with doors not closing & water leakages even with these issues we did not complain but up until the middle of our stay the power went out and the hos",Electrical,Power Outage,"Never in my life of renting a spot Have I ever dealt with such an unprofessional host, We have dealt with doors not closing & water leakages even with these issues we did not complain but up until the middle of our stay the power went out and the host said he would fix it the day of.
----
very unprofessional host
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.
Brand: VRBO",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 3,New,,Not Applicable,NULL
