"Topic = ""Health and Safety - Ref"">>Topic = ""Accommodation"""
Date exported: 13/02/23
Exported by user: mclifford@expediagroup.com
Classification: Health and Safety - Ref
Report type: Topics Volume Report
Project: Expedia
Date range: from 29/01/23 to 12/02/23
Date filter: 30/01/2023 - 12/02/2023
Topic path: Health and Safety - Ref-->Accommodation
Sentiment Filter: All sentences
Matched: 15 sentences
"Accommodation Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""Health and Safety English"" path:""root"" node:""Accommodation""], _catRef:[model:""Health and Safety Italian"" path:""root"" node:""Accommodation""], _catRef:[model:""Health and Safety German"" path:""root"" node:""Accommodation""], _catRef:[model:""Health and Safety French"" path:""root"" node:""Accommodation""], _catRef:[model:""Health and Safety Portuguese"" path:""root"" node:""Accommodation""], _catRef:[model:""Health and Safety Spanish"" path:""root"" node:""Accommodation""], _catRef:[model:""Health and Safety Russian"" path:""root"" node:""Accommodation""], _catRef:[model:""Health and Safety Dutch"" path:""root"" node:""Accommodation""], _catRef:[model:""Health and Safety Norwegian"" path:""root"" node:""Accommodation""], _catRef:[model:""Health and Safety Danish"" path:""root"" node:""Accommodation""], _catRef:[model:""Health and Safety Finnish"" path:""root"" node:""Accommodation""], _catRef:[model:""Health and Safety Swedish"" path:""root"" node:""Accommodation""]}] [ LEVEL:SENTENCE TYPE:NOT_KEYWORD {HA_PARENTCHAINNAME:""wyndham worldwide"", HA_PARENTCHAINNAME:""wyndham extra holidays"", HA_PARENTCHAINNAME:""wyndham vacation ownership"", HA_PARENTCHAINNAME:""hilton worldwide"", HA_PARENTCHAINNAME:choice, HA_PARENTCHAINNAME:""choice nordic"", HA_PARENTCHAINNAME:""choice global parent meso"", HA_PARENTCHAINNAME:marriott, HA_PARENTCHAINNAME:ihg, HA_PARENTCHAINNAME:""best western"", HA_PARENTCHAINNAME:""accor"", HA_PARENTCHAINNAME:starwood, HA_PARENTCHAINNAME:""starwood capital"", HA_PARENTCHAINNAME:carlson, HA_PARENTCHAINNAME:""hyatt hotels"", HA_PARENTCHAINNAME:""la quinta"", HA_PARENTCHAINNAME:""motel 6"", HA_PARENTCHAINNAME:""red roof inn"", HA_PARENTCHAINNAME:mgm, HA_PARENTCHAINNAME:""mgm muthu hotels"", HA_PARENTCHAINNAME:""americas best value inn"", HA_PARENTCHAINNAME:""america's best inns"", HA_PARENTCHAINNAME:""extended stay america"", HA_PARENTCHAINNAME:""louvre hotels"", HA_PARENTCHAINNAME:""caesars entertainment"", HA_PARENTCHAINNAME:""nh hotels"", HA_PARENTCHAINNAME:""melia hotels international"", HA_PARENTCHAINNAME:""red lion"", HA_PARENTCHAINNAME:""bedandbreakfast.com"", HA_PARENTCHAINNAME:""highgate independent"", HA_PARENTCHAINNAME:""scandic hotels chain"", HA_PARENTCHAINNAME:millennium, HA_PARENTCHAINNAME:omni}]"
"Health and Safety - Ref Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TPID""-401"", HR_TPID:""60000"", HR_TPID:""-1"", HR_TPID:""-101"", HR_TPID:""-102"", HR_TPID:""-103"", HR_TPID:""-104"", HR_TPID:""-105"", HR_TPID:""-106"", HR_TPID:""-107"", HR_TPID:""-108"", HR_TPID:""-109"", HR_TPID:""-110"", HR_TPID:""-111"", HR_TPID:""-112"", HR_TPID:""-113"", HR_TPID:""-114"", HR_TPID:""-115"", HR_TPID:""-116"", HR_TPID:""-117"", HR_TPID:""-118"", HR_TPID:""-119"", HR_TPID:""-120"", HR_TPID:""-121"", HR_TPID:""-122"", HR_TPID:""-123"", HR_TPID:""-124"", HR_TPID:""-125"", HR_TPID:""-126"", HR_TPID:""-127"", HR_TPID:""-128"", HR_TPID:""-129"", HR_TPID:""15"", HR_TPID:""-180"", HR_TPID:""-182"", HR_TPID:""-184"", HR_TPID:""-186"", HR_TPID:""-188"", HR_TPID:""-190"", HR_TPID:""-200"", HR_TPID:""-202"", HR_TPID:""-204"", HR_TPID:""-206"", HR_TPID:""-300"", HR_TPID:""3000"", HR_TPID:""30001"", HR_TPID:""30002"", HR_TPID:""30003"", HR_TPID:""30004"", HR_TPID:""3001"", HR_TPID:""3002"", HR_TPID:""30021"", HR_TPID:""30025"", HR_TPID:""30029"", HR_TPID:""3003"", HR_TPID:""30030"", HR_TPID:""30031"", HR_TPID:""30032"", HR_TPID:""30033"", HR_TPID:""30034"", HR_TPID:""3004"", HR_TPID:""3018"", HR_TPID:""3019"", HR_TPID:""-304"", HR_TPID:""-308"", HR_TPID:""-310"", HR_TPID:""3100"", HR_TPID:""3101"", HR_TPID:""3102"", HR_TPID:""3103"", HR_TPID:""3104"", HR_TPID:""3105"", HR_TPID:""3107"", HR_TPID:""3109"", HR_TPID:""3110"", HR_TPID:""3111"", HR_TPID:""3112"", HR_TPID:""3113"", HR_TPID:""3114"", HR_TPID:""3115"", HR_TPID:""3116"", HR_TPID:""3117"", HR_TPID:""3118"", HR_TPID:""3119"", HR_TPID:""-312"", HR_TPID:""3180"", HR_TPID:""-320"", HR_TPID:""3200"", HR_TPID:""3201"", HR_TPID:""3202"", HR_TPID:""3203"", HR_TPID:""3204"", HR_TPID:""3205"", HR_TPID:""3206"", HR_TPID:""3207"", HR_TPID:""3208"", HR_TPID:""3209"", HR_TPID:""3210"", HR_TPID:""3211"", HR_TPID:""3212"", HR_TPID:""3213"", HR_TPID:""3214"", HR_TPID:""-322"", HR_TPID:""-326"", HR_TPID:""3301"", HR_TPID:""-334"", HR_TPID:""-336"", HR_TPID:""-338"", HR_TPID:""-340"", HR_TPID:""3401"", HR_TPID:""-342"", HR_TPID:""-344"", HR_TPID:""-346"", HR_TPID:""-348"", HR_TPID:""3480"", HR_TPID:""-350"", HR_TPID:""-352"", HR_TPID:""-354"", HR_TPID:""-356"", HR_TPID:""-358"", HR_TPID:""-360"", HR_TPID:""-362"", HR_TPID:""-364"", HR_TPID:""-366"", HR_TPID:""-368"", HR_TPID:""-370"", HR_TPID:""-372"", HR_TPID:""-42"", HR_TPID:""4700"", HR_TPID:""4701"", HR_TPID:""4711"", HR_TPID:""4780"", HR_TPID:""4781"", HR_TPID:""61"", HR_TPID:""70201"", HR_TPID:""70205"", HR_TPID:""70406"", HR_TPID:""70463"", HR_TPID:""70472"", HR_TPID:""70473"", HR_TPID:""70501"", HR_TPID:""7101"", HR_TPID:""7102"", HR_TPID:""7103"", HR_TPID:""7104"", HR_TPID:""7105"", HR_TPID:""7107"", HR_TPID:""7109"", HR_TPID:""7110"", HR_TPID:""7111"", HR_TPID:""7114"", HR_TPID:""7115"", HR_TPID:""7116"", HR_TPID:11, HR_TPID:12, HR_TPID:16, HR_TPID:17, HR_TPID:18, HR_TPID:20, HR_TPID:25, HR_TPID:28, HR_TPID:29, HR_TPID:4980, HR_TPID:6, HR_TPID:62, HR_TPID:63, HR_TPID:64, HR_TPID:65, HR_TPID:66, HR_TPID:67, HR_TPID:69, HR_TPID:7, HR_TPID:70, HR_TPID:70125, HR_TPID:70129, HR_TPID:70301, HR_TPID:70403, HR_TPID:70420, HR_TPID:70465, HR_TPID:70472, HR_TPID:73, HR_TPID:75, HR_TPID:8, HR_TPID:80001, HR_TPID:80004, HR_TPID:9, HR_TSPID:83, HR-TPID:""-332"", HR_TPID:""21"", HR_TPID:""3120"", HR_TPID:""3121"", HR_TPID:""3122"", HR_TPID:""3123"", HR_TPID:""3124"", HR_TPID:""3125"", HR_TPID:""3126"", HR_TPID:""3127"", HR_TPID:""3128"", HR_TPID:""3129"", HR_TPID:""3130"", HR_TPID:""3131"", HR_TPID:""3135"", HR_TPID:""3136"", HR_TPID:""3137"", HR_TPID:""3141"", HR_TPID:""3145"", HR_TPID:""34"", HR_TPID:1, HR_TPID:3, HR_TPID:4, }] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:chinese, _language:danish, _language:dutch, _language:english, _language:finnish, _language:french, _language:german, _language:italian, _language:japanese, _language:""korean"", _language:""norwegian"", _language:""portuguese"", _language:russian, _language:spanish, _language:swedish, _language:thai, _language:chinese, _language:""turkish"", _language:""greek (modern)"", _language:""czech"", _language:""estonian"", _language:""polish"", _language:""slovak"", _language:""icelandic"", _language:croatian, _language:latvian, _language:hungarian, _language:arabic, _language:""hebrew (modern)"", _language:lithuanian, _language:bosnian, _language:indonesian, _language:malay, _language:serbian, _language:vietnamese}] [ LEVEL:SENTENCE TYPE:NOT_KEYWORD {_verbatimtype:""lb_bookingtxt""}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63e33ef09f99ed32c1024669,8182910173,NOT SPECIFIED,201186,1675841639533,08/02/2023 06:19:28 CST,hotel miramar am römer,de_de,6,,"Katastrophe: Drehtür mit Treppe, dadurch Sturzgefahr beim Verlassen aber kein Warnschild",HR_REVIEWTEXT,"Positiv: sauber, gut gelegen

Negativ: winzige Zimmer, durchgelegene Matratzen, kein zweiter Stuhl bei einer Buchung für zwei Personen möglich, kein Frühstück auf dem Zimmer möglich

Katastrophe: Drehtür mit Treppe, dadurch Sturzgefahr beim Verlassen aber kein Warnschild"
63d6fbc3be5e9c07be0c9c19,8179390807,NOT SPECIFIED,74250526,1675086755296,29/01/2023 23:05:39 CST,marabá - hotel oficial do bar brahma,pt_br,-1,nota 7/10,"Café da manhã 10/10, atendimento 10/10, cama 10/10, chuveiro 10/10, a localização é boa por conta do comércio, mas é muito perigoso andar por lá.",HR_REVIEWTEXT,"Café da manhã 10/10, atendimento 10/10, cama 10/10, chuveiro 10/10, a localização é boa por conta do comércio, mas é muuuito perigoso andar por lá. E o carpete do hotel fede muuito, o quarto fica parecendo que está mofado"
63e3554bde200418ee5ed428,8182933983,NOT SPECIFIED,1877045,1675846950611,08/02/2023 07:54:51 CST,leonardo hotel almere city center,nl_nl,11,,"Over het algemeen een fijne kamer , bad/douche zat verstopt en er ontbrak een onderdeel in de zijkant van het bad waardoor het niet veilig was voor jonge kinderen als ze in bad zouden gaan en gezien dit een familie kamer is vond ik dit wel een groot minpunt",HR_REVIEWTEXT,"Inchecken was fijn en snel , optie om ontbijt naar de kamer te brengen was ook fijn , helaas ontbrak er bij het ontbijt meerdere dingen die we hadden aangegeven.

Over het algemeen een fijne kamer , bad/douche zat verstopt en er ontbrak een onderdeel in de zijkant van het bad waardoor het niet veilig was voor jonge kinderen als ze in bad zouden gaan en gezien dit een familie kamer is vond ik dit wel een groot minpunt

Ik heb eerder in dit hotel verbleven alleen dan in een andere kamer mijn beoordeling blijft het zelfde.

Snachts veel overlast gehad van de buren maar daar valt weinig aan te doen."
63da42d360f3e91c9585f7da,8180165539,NOT SPECIFIED,9274477,1675252188497,01/02/2023 10:45:39 CST,connect hotel kista,sv_se,-1,inte så bra - billigt dock,Duschen kunde man nästan inte öppna dörrarna i eftersom de slog i antingen toaletten eller handfatet.,HR_REVIEWTEXT,Väldigt varmt på rummet som var ok. Stenhård säng. Duschen kunde man nästan inte öppna dörrarna i eftersom de slog i antingen toaletten eller handfatet. Var tvungen att öppna inåt. Inget glas att dricka vatten ur på rummet fanns heller.
63dfc58e6437445335198835,8181804407,NOT SPECIFIED,74266024,1675613492813,05/02/2023 15:04:46 CST,charlie vitrali moema,pt_br,-1,apart hotel se padrão nos quartos. cuidado,Fiquei no 303 num primeiro momento e tinha mofo e um vazamento enorme no ar condicionado.,HR_REVIEWTEXT,"Proposta é boa porém os quartos não tem padrão. Fiquei no 303 num primeiro momento e tinha mofo e um vazamento enorme no ar condicionado. Me trocaram por um quarto ainda pior o 1211 onde era menor que a categoria escolhida, colchão ruim, sem cabides, black out não fechava totalmente e banheiro sem saboneteira. Outro quarto fora do padrão. 
Depois de muito reclamar e ameacar me colocaram no 2308 este um quarto ok conforme reservado. Meu colega ficou no 403 que era muito semelhante ao 2308. 
Se pudesse escolher o quarto e ter a certeza de qual ficaria acho que reservaria novamente do contrário tem melhores opções muito próximas. Não vale a economia."
63de26bedc57313b6db99328,8181298087,NOT SPECIFIED,11328903,1675508120225,04/02/2023 09:34:54 CST,strandhotel dranske,de_de,70406,,die Treppe ein Risiko wegen rutschgefahr,HR_REVIEWTEXT,"Einrichtung der Zimmer sind nicht effektiv. Keine möglichkeit zum hinsetzen geschweige ablage möglichkeiten. Im bad die dusche eher eine katstrophe als angenehm. Auch hier weder möglichkeiten handtücher zum trockenen aufzuhängen noch ablage für eigenen kosmetik. Die küchenecke, naja schrank und kühlschrank vorhanden aber nichts drin, wofür solch eine küchenecke??? Wir hatten eine Aufbettung,  daher war es nicht möglich irgendwo mal platz zunehmen. Ein Stuhl hätte es erübrig, da wäre dann auch platz um auch mal wäsche abzulegen. Auch würde dem zimmer eine stehlampe oder ähnliches gut tun um etwas Ambiente für den raum zu erhalten. Wohlfühlen war fehlanzeige. Silberfische ein ganz großes problem und die Treppe ein Risiko wegen rutschgefahr.
Das ""Restaurant "" glich einem Speisesaal,  wo blechernde musik irgendwo her schallte, frühstücksbüffett eher ausreichend aber nicht einen 4 sterne hotel gerecht. Salz, pfeffer, zucker milch nix auf den tischen und nur abgepackt. Selbst mayonaise jnd ketschup beim abend essen (restaurant) nur abgepackt???
Aöles im allen, 4 sterne hier fehl am platze. Wahscheinlich nur deshalb, weil direkte strandlage. 
Der Auftritt im angebot vielversprechend, die Realität leider nicjt überzeugend. Das ist hier kein meckern sondern kritikpunkte die ernst genommen werden sollten. Ich wäre gerne wieder gekommen."
63e3532dde200418ee5ed075,8182933824,NOT SPECIFIED,893749,1675846294257,08/02/2023 07:45:49 CST,dinarobin beachcomber golf resort & spa,de_de,6,,the bathroom I think would not hurt a little renovation,HR_REVIEWTEXT,"Unfortunately, my stay in your hotel was a bit disappointing. Compared to other 5-star hotels, there are better ones for me. Especially compared to the Trou aux Biches Beachcomber Hotel, the Dinarobin does not live up to my expectations of the Beachcomber hotel chain. The atmosphere was kind of cold - I didn't really feel welcome. The food was average & some of the staff members made a rather less motivated, partly unfriendly impression. The resort is very big and well maintained, but I wish the quality would not suffer from the - in my eyes exaggerated - size of the hotel. The bedroom is big, the bathroom I think would not hurt a little renovation."
63dd0c7e643744533512d45a,8180963776,NOT SPECIFIED,8032473,1675435301164,03/02/2023 13:30:38 CST,j two s pratunam hotel,de_de,6,,Die Dusche zu klein und sehr rutschig.,HR_REVIEWTEXT,"Was mir nicht gefallen hat ist, das ich als Nichtraucher in einem Raucherzimmer Untergebracht wurde, weil angebelich alle Zimmer besetzt waren. Alles hat stark nach Qualm gestunken. Die Dusche zu klein und sehr rutschig."
63d6d292e1de5c64789aa508,8179196411,NOT SPECIFIED,88087200,1675026846392,29/01/2023 20:09:54 CST,hotel rossel plaza,es_us,-1,no lo recomiendo,"La ubicacion no es muy buena, insegura, no hay lugares cercanos para comer, la habitación con el baño sin separar todo junto a mi parecee muy feo",HR_REVIEWTEXT,"La ubicacion no es muy buena, insegura, no hay lugares cercanos para comer, la habitación con el baño sin separar todo junto a mi parecee muy feo"
63da822fd061aa497da078b3,8180227782,NOT SPECIFIED,74122180,1675268858178,01/02/2023 15:15:59 CST,bauten cabo branco 306 por carpediem,pt_br,-1,lugar muito sujo.,"Fiquei muito decepcionada com esse lugar,tudo muito sujo, banheiro, corredor, elevador,escada.",HR_REVIEWTEXT,"Fiquei muito decepcionada com esse lugar,tudo muito sujo, banheiro, corredor, elevador,escada. Liguei 3 vezes na administradora do lugar, Carpediem, explicando a situação e nada fizeram, as funcionárias do prédio não sabem e não tem interesse de limpar. Recepcionista arrogante e debochada, nada vez para melhorar a situação. Colchões e travesseiros péssimos, roupa de cama estava usada, não deixaram a terceira cama pronta e quando fui buscar na recepção, não tinha disponível. Toalhas manchadas. Piscina suja. Enfim, foi tudo péssimo, estragaram nossas férias, eu mesmo tive que limpar o lugar."
63d95df3ced8450d6496c173,8179906837,NOT SPECIFIED,31953963,1675194640177,31/01/2023 18:29:07 CST,hotel restaurant de oringer marke,nl_nl,-1,een wereldreiziger.,Bij de douche geen badmat voor de veiligheid van de gasten.,HR_REVIEWTEXT,"Wat jammer is dat bij twee nachten totaal geen service is op de kamer. Tussendoor wordt de kamer niet schoon gemaakt en worden de bedden niet opgemaakt.  Als je een hartaanval hebt, dan vinden ze je pas na drie dagen. Nederlandse publieke zenders zijn er soms niet. Internet is niet stabiel en valt af en toe weg.  Waterdruk is behoorlijk lager als iedereen ‘s morgens gaat douchen. Bij de douche geen badmat voor de veiligheid van de gasten. De kluis is superklein en kon niet gebruikt worden, zeker niet als je een laptop meeneemt. Bij het schoonmaken zou het kluisje gewoon gecontroleerd moeten worden voor de volgende gast.  Bij het uitchecken wordt helaas niet gevraagd hoe het verblijf was, hetgeen een kleine moeite is.

Positief is het restaurant. Het eten is goed en de bediening is prettig en zeer vriendelijk.  Het ontbijt is uitgebreid en prima.  De ontvangst bij aankomst was ook prettig."
