Review ID,Review Submission Date Time,Account ID,TPID,Subject,Primary Category,Description,Case Origin,Record Type ID,Contact ID,Owner ID,Case Category,Type,Status,Blocker,Auto Chase Status,Translated Description
650a929f01262c6c3a000814,2023-09-20T06:35:11.000Z,17724,4,"We also did not feel safe, especially after one of the guests got mugged in the elevator.",Lift/Elevator,"We also did not feel safe, especially after one of the guests got mugged in the elevator.
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 2,New,,Not Applicable,NULL
650b4ff40d0e354add0b61b5,2023-09-20T20:03:00.000Z,1154628,4,Pool was never cleaned Shuffleboard full of sand and water No lighting in hallway at night unsafe No lighting at pool,Pool Safety,"Pool was never cleaned Shuffleboard full of sand and water No lighting in hallway at night unsafe No lighting at pool
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 2,New,,Not Applicable,NULL
650a47ec22f0d01187d72631,2023-09-20T01:16:28.000Z,1040714,1,There are roaches on the floor.,Pest-Control,"There are roaches on the floor.
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 3,New,,Not Applicable,NULL
650a2871db4f6e19c7a17487,2023-09-19T23:02:09.000Z,5273,1,so many cockroaches - unlivable.,Pest-Control,"so many cockroaches - unlivable.
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 3,New,,Not Applicable,NULL
650a17ca2e6cb12c43b973e5,2023-09-19T21:51:06.000Z,11849074,11,"Mooi hotel, schoon (op kit randen douche, een dode kakkerlak en rioolwormpjes na).",Pest-Control,"Mooi hotel, schoon (op kit randen douche, een dode kakkerlak en rioolwormpjes na).
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 3,New,,Not Applicable,NULL
650b19fb2c341f1193e563f1,2023-09-20T16:12:43.000Z,4316320,-1,"ficamos em um quarto ao lado da lixeira, onde encontramos baratas próximas e quarto com cheiro de mofo",Pest-Control,"ficamos em um quarto ao lado da lixeira, onde encontramos baratas próximas e quarto com cheiro de mofo
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 3,New,,Not Applicable,NULL
650b306a0d0e354add0b045a,2023-09-20T17:48:26.000Z,118511,1,I had roaches in my room and they did not seem TJ care about the fact that they were all over the walls and on the bed.,Pest-Control,"I had roaches in my room and they did not seem TJ care about the fact that they were all over the walls and on the bed.
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 3,New,,Not Applicable,NULL
650ac1af5e2b0e17a5a1f1e3,2023-09-20T09:55:59.000Z,996191,1,Found roaches in the room and it was generally a dump..,Pest-Control,"Found roaches in the room and it was generally a dump..
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 3,New,,Not Applicable,NULL
650a1a922e6cb12c43b97c51,2023-09-19T22:02:58.000Z,10057288,1,"The next morning, we had noticed there were some bugs in the room, maybe not roaches but they were larger and concerning.",Pest-Control,"The next morning, we had noticed there were some bugs in the room, maybe not roaches but they were larger and concerning.
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 3,New,,Not Applicable,NULL
650a2d58db4f6e19c7a187a8,2023-09-19T23:23:04.000Z,67407,-1,showed the lady at the desk the pictures of the roaches,Pest-Control,"showed the lady at the desk the pictures of the roaches
----
Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Dataloader,Partner Review,003C0000018VDiDIAW,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 3,New,,Not Applicable,NULL
